Date,Quantity
2022-01-01,50
2022-01-02,65
2022-01-03,92
2022-01-04,86
2022-01-05,72
2022-01-06,70
2022-01-07,118
2022-01-08,72
2022-01-09,30
2022-01-10,48
2022-01-11,75
2022-01-12,54
2022-01-13,70
2022-01-14,38
2022-01-15,43
2022-01-16,34
2022-01-17,28
2022-01-18,106
2022-01-19,60
2022-01-20,92
2022-01-21,236
2022-01-22,41
2022-01-23,58
2022-01-24,68
2022-01-25,122
2022-01-26,49
2022-01-27,47
2022-01-28,89
2022-01-29,65
2022-01-30,64
2022-01-31,168
2022-02-01,57
2022-02-02,49
2022-02-03,110
2022-02-04,114
2022-02-05,84
2022-02-06,40
2022-02-07,68
2022-02-08,66
2022-02-09,50
2022-02-10,113
2022-02-11,62
2022-02-12,58
2022-02-13,37
2022-02-14,31
2022-02-15,93
2022-02-16,72
2022-02-17,107
2022-02-18,69
2022-02-19,83
2022-02-20,41
2022-02-21,50
2022-02-22,120
2022-02-23,71
2022-02-24,56
2022-02-25,118
2022-02-26,68
2022-02-27,59
2022-02-28,177
2022-03-01,78
2022-03-02,338
2022-03-03,126
2022-03-04,115
2022-03-05,105
2022-03-06,39
2022-03-07,38
2022-03-08,63
2022-03-09,69
2022-03-10,63
2022-03-11,119
2022-03-12,132
2022-03-13,59
2022-03-14,46
2022-03-15,77
2022-03-16,60
2022-03-17,98
2022-03-18,168
2022-03-19,158
2022-03-20,113
2022-03-21,80
2022-03-22,60
2022-03-23,66
2022-03-24,93
2022-03-25,49
2022-03-26,73
2022-03-27,55
2022-03-28,34
2022-03-29,88
2022-03-30,41
2022-03-31,112
2022-04-01,77
2022-04-02,79
2022-04-03,51
2022-04-04,51
2022-04-05,108
2022-04-06,94
2022-04-07,125
2022-04-08,84
2022-04-09,209
2022-04-10,75
2022-04-11,76
2022-04-12,190
2022-04-13,119
2022-04-14,148
2022-04-15,63
2022-04-16,74
2022-04-17,79
2022-04-18,75
2022-04-19,121
2022-04-20,95
2022-04-21,115
2022-04-22,80
2022-04-23,58
2022-04-24,60
2022-04-25,92
2022-04-26,55
2022-04-27,107
2022-04-28,53
2022-04-29,176
2022-04-30,159
2022-05-01,114
2022-05-02,155
2022-05-03,45
2022-05-04,71
2022-05-05,74
2022-05-06,91
2022-05-07,89
2022-05-08,50
2022-05-09,80
2022-05-10,72
2022-05-11,125
2022-05-12,113
2022-05-13,96
2022-05-14,91
2022-05-15,34
2022-05-16,51
2022-05-17,116
2022-05-18,154
2022-05-19,154
2022-05-20,51
2022-05-21,93
2022-05-22,71
2022-05-23,47
2022-05-24,55
2022-05-25,113
2022-05-26,95
2022-05-27,88
2022-05-28,72
2022-05-29,38
2022-05-30,70
2022-05-31,79
2022-06-01,107
2022-06-02,38
2022-06-03,58
2022-06-04,74
2022-06-05,61
2022-06-06,71
2022-06-07,38
2022-06-08,70
2022-06-09,87
2022-06-10,91
2022-06-11,49
2022-06-12,28
2022-06-13,123
2022-06-14,95
2022-06-15,50
2022-06-16,161
2022-06-17,71
2022-06-18,40
2022-06-19,53
2022-06-20,86
2022-06-21,87
2022-06-22,51
2022-06-23,69
2022-06-24,76
2022-06-25,71
2022-06-26,37
2022-06-27,89
2022-06-28,93
2022-06-29,57
2022-06-30,45
2022-07-01,153
2022-07-02,48
2022-07-03,65
2022-07-04,68
2022-07-05,65
2022-07-06,111
2022-07-07,118
2022-07-08,148
2022-07-09,203
2022-07-10,176
2022-07-11,59
2022-07-12,112
2022-07-13,73
2022-07-14,79
2022-07-15,74
2022-07-16,126
2022-07-17,64
2022-07-18,97
2022-07-19,70
2022-07-20,79
2022-07-21,45
2022-07-22,90
2022-07-23,59
2022-07-24,91
2022-07-25,89
2022-07-26,142
2022-07-27,75
2022-07-28,209
2022-07-29,76
2022-07-30,87
2022-07-31,59
2022-08-01,60
2022-08-02,152
2022-08-03,72
2022-08-04,140
2022-08-05,100
2022-08-06,75
2022-08-07,90
2022-08-08,64
2022-08-09,100
2022-08-10,100
2022-08-11,127
2022-08-12,77
2022-08-13,101
2022-08-14,91
2022-08-15,63
2022-08-16,82
2022-08-17,157
2022-08-18,104
2022-08-19,101
2022-08-20,117
2022-08-21,74
2022-08-22,82
2022-08-23,99
2022-08-24,187
2022-08-25,92
2022-08-26,84
2022-08-27,63
2022-08-28,44
2022-08-29,84
2022-08-30,125
2022-08-31,76
2022-09-01,67
2022-09-02,80
2022-09-03,41
2022-09-04,53
2022-09-05,71
2022-09-06,52
2022-09-07,45
2022-09-08,74
2022-09-09,67
2022-09-10,75
2022-09-11,125
2022-09-12,74
2022-09-13,154
2022-09-14,71
2022-09-15,61
2022-09-16,97
2022-09-17,79
2022-09-18,104
2022-09-19,59
2022-09-20,48
2022-09-21,105
2022-09-22,83
2022-09-23,114
2022-09-24,72
2022-09-25,70
2022-09-26,150
2022-09-27,92
2022-09-28,48
2022-09-29,86
2022-09-30,145
2022-10-01,62
2022-10-02,73
2022-10-03,77
2022-10-04,86
2022-10-05,56
2022-10-06,105
2022-10-07,171
2022-10-08,87
2022-10-09,63
2022-10-10,160
2022-10-11,103
2022-10-12,103
2022-10-13,33
2022-10-14,53
2022-10-15,75
2022-10-16,68
2022-10-17,45
2022-10-18,68
2022-10-19,86
2022-10-20,91
2022-10-21,165
2022-10-22,168
2022-10-23,66
2022-10-24,42
2022-10-25,40
2022-10-26,72
2022-10-27,107
2022-10-28,82
2022-10-29,63
2022-10-30,54
2022-10-31,47
2022-11-01,40
2022-11-02,133
2022-11-03,93
2022-11-04,65
2022-11-05,101
2022-11-06,120
2022-11-07,88
2022-11-08,77
2022-11-09,77
2022-11-10,52
2022-11-11,75
2022-11-12,52
2022-11-13,43
2022-11-14,114
2022-11-15,56
2022-11-16,96
2022-11-17,54
2022-11-18,102
2022-11-19,81
2022-11-20,19
2022-11-21,61
2022-11-22,297
2022-11-23,109
2022-11-24,128
2022-11-25,80
2022-11-26,56
2022-11-27,56
2022-11-28,73
2022-11-29,128
2022-11-30,105
2022-12-01,114
2022-12-02,140
2022-12-03,68
2022-12-04,63
2022-12-05,121
2022-12-06,94
2022-12-07,54
2022-12-08,58
2022-12-09,130
2022-12-10,97
2022-12-11,65
2022-12-12,41
2022-12-13,87
2022-12-14,205
2022-12-15,186
2022-12-16,87
2022-12-17,210
2022-12-18,84
2022-12-19,130
2022-12-20,128
2022-12-21,85
2022-12-22,88
2022-12-23,96
2022-12-24,141
2022-12-25,68
2022-12-26,60
2022-12-27,83
2022-12-28,96
2022-12-29,102
2022-12-30,50
2022-12-31,74
